"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","CAD_5mon","CAD_7mon","CBB_5mon","CBB_7mon","WAB_20min_10mon","WAB_30min_10mon","carotenoidtotal","betacarotenoid_nirs","branch_number","CAD_3mon","CBB_3mon","DM_gravity","DM_nirs","height_1st_branch","yield_ha","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","root_weight_plot","vigor1_5","lodging1_3","lodging1_3_6mon","root_number_commercial","root_weight_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8"
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_CG1141-1_25",2,25,4,8,"check"," (Operator: lizbethpino, Time: )","CG1141-1_is_Costena","check_released",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,35.16329341,NA,60,39.16666667,6,100,39.1666666666667,13.7722899189167,18.8,4,1,NA,50,NA,10,25,3,180,30,6,3,1,2,3,59,4675,500,0,25,1,2,1,1
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_CM4919-1_43",2,43,6,6,"check"," (Operator: lizbethpino, Time: )","CM4919-1_is_Veronica","check_released",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,33.44732931,NA,160,22.5,6,96,22.5,7.52564909475,10.8,3,1,NA,34,NA,6,25,4,160,20,6,3,1,3,3,58,4775,469,0,24,1,3,1,5
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_CM9456-12_40",2,40,5,8,"test"," (Operator: lizbethpino, Time: )","CM9456-12","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,33.87674936,NA,220,29.375,6,100,29.375,9.9512951245,14.1,4,1,NA,34,NA,6,25,3,220,30,6,3,1,2,3,54,4750,477,0,25,1,3,1,1
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_CM9912-167_30",2,30,4,3,"test"," (Operator: lizbethpino, Time: )","CM9912-167","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,27.4694393,NA,115,32.29166667,6,92,32.2916666666667,8.87033977395833,15.5,4,1,NA,40,NA,10,25,2,220,30,6,1,1,2,3,60,4050,269,0,23,1,2,1,4
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_COL2215_45",2,45,6,4,"check"," (Operator: lizbethpino, Time: )","COL2215_is_Venezolana","check_released",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,35.13316167,NA,60,26.875,6,96,26.875,9.4420371988125,12.9,3,1,NA,30,NA,8,25,4,170,20,6,3,1,2,3,42,5000,534,2,24,1,3,1,1
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_GM1406-13_27",2,27,4,6,"test"," (Operator: lizbethpino, Time: )","GM1406-13","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,32.3793212,NA,140,29.58333333,6,100,29.5833333333333,9.57888252166666,14.2,3,1,NA,35,NA,10,25,3,210,20,6,3,1,2,2,46,4725,438,3,25,1,2,1,1
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_GM8867-27_28",2,28,4,5,"test"," (Operator: lizbethpino, Time: )","GM8867-27","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,34.37836812,NA,80,26.04166667,6,100,26.0416666666667,8.95270003125,12.5,4,1,NA,37,NA,8,25,3,180,20,6,2,1,2,3,50,3525,363,0,25,1,3,1,4
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_GM8868-59_46",2,46,6,3,"test"," (Operator: lizbethpino, Time: )","GM8868-59","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,36.73663898,NA,140,27.70833333,6,100,27.7083333333333,10.1791103840417,13.3,4,1,NA,32,NA,8,25,3,220,20,6,2,1,2,3,52,4625,531,0,25,1,3,1,1
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_GM8870-29_48",2,48,6,1,"test"," (Operator: lizbethpino, Time: )","GM8870-29","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,33.44345753,NA,200,47.29166667,6,100,47.2916666666667,15.8159684568958,22.7,4,1,NA,57,NA,10,25,2,200,30,6,2,1,1,3,69,5000,491,0,25,1,2,1,1
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_GM8870-84_44",2,44,6,5,"test"," (Operator: lizbethpino, Time: )","GM8870-84","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,34.73566442,NA,130,32.5,6,100,32.5,11.2890909365,15.6,4,1,NA,30,NA,8,25,3,190,20,6,1,1,2,3,55,4800,503,0,25,1,2,1,3
